Sample_Name,buffer_test,reads_G4,reads_G6,Acanthocephala_G4,Ancylostoma_G4,Ascaridida_G4,Blastocystis_G4,Cryptosporidium_G4,Cyclophyllidea_G4,Echinostoma_paraensei_G4,Eimeria_G4,Eimeriorina_G4,Entamoeba_G4,Eucestoda_G4,Haemonchus_contortus_G4,Hepatozoon_G4,Hexamastix_G4,Hymenolepis_diminuta_G4,Hymenolepis_microstoma_G4,Hypotrichomonadidae_G4,Hypotrichomonas_G4,Microsporidia_G4,Moniliformis_moniliformis_G4,Neobalantidium_coli_G4,Nippostrongylus_brasiliensis_G4,Ostertagia_G4,Pentatrichomonas_hominis_G4,Rhabditida_G4,Simplicimonas_G4,Simplicimonas_similis_G4,Spirocerca_lupi_G4,Spirurida_G4,Streptopharagus_G4,Syphacia_G4,Tetratrichomonas_G4,Trichomitus_G4,Trichomitus_batrachorum_G4,Trichomonadea_G4,Trichuris_trichiura_G4,Tritrichomonas_G4,Ancylostoma_G6,Apicomplexa_G6,Ascaridida_G6,Blastocystis_G6,Cryptosporidium_G6,Cyclophyllidea_G6,Eimeria_G6,Entamoeba_G6,Hepatozoon_G6,Hymenolepis_diminuta_G6,Hymenolepis_microstoma_G6,Neobalantidium_coli_G6,Nippostrongylus_brasiliensis_G6,Rhabditida_G6,Sarcocystis_G6,Spirocerca_G6,Spirurida_G6,Strongyloides_G6,Strongyloides_ratti_G6,Syphacia_obvelata_G6
TMR-2034,,3671,4068,0,0,0,0,0,0,0,0.01035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19494,0,0,0,0.06096,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2035,,3348,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2036,,2002,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2043,,5176,4246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2045,,2480,3566,0,0,0,0,0,0,0,0.04718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45261,0,0,0,0.43718,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2046,,2234,1278,0,0,0,0,0,0,0,0.01477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2047,,3344,2134,0,0,0,0,0,0,0,0.03499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2057,,2996,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21985,0,0,0,0.28818,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2058,,4368,3542,0,0,0,0,0,0,0,0.01053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMR-2069,,5628,3437,0,0,0,0,0,0,0,0.01955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
