host_ID,host_species,village,grid,final_id,link,type
2039,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2039,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,1,Nematode
2039,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2039,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2040,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2040,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2040,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2040,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2040,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2040,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2040,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2040,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2040,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2040,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2040,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2045,Microgale brevicaudata,Mandena,agriculture,Blastocystis,1,Protozoa
2045,Microgale brevicaudata,Mandena,agriculture,Entamoeba,1,Protozoa
2045,Microgale brevicaudata,Mandena,agriculture,Heligmosomoidea,0,Nematode
2045,Microgale brevicaudata,Mandena,agriculture,Nippostrongylus,0,Nematode
2045,Microgale brevicaudata,Mandena,agriculture,Trichostrongylidae,1,Nematode
2045,Microgale brevicaudata,Mandena,agriculture,Hypotrichomonas,0,Protozoa
2045,Microgale brevicaudata,Mandena,agriculture,Tritrichomonas,0,Protozoa
2045,Microgale brevicaudata,Mandena,agriculture,Eimeria,1,Protozoa
2045,Microgale brevicaudata,Mandena,agriculture,Heligmonellidae,0,Nematode
