host_ID,final_id,link,type,host_species,village,grid,season
2355,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,secondary_forest,2
2358,Tritrichomonas,1,Protozoa,Eliurus webbi,Mandena,secondary_forest,2
2359,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,secondary_forest,2
2361,Hypotrichomonas,1,Protozoa,Rattus rattus,Mandena,secondary_forest,2
2361,Tritrichomonas,1,Protozoa,Rattus rattus,Mandena,secondary_forest,2
2362,Tritrichomonas,1,Protozoa,Eliurus webbi,Mandena,secondary_forest,2
2363,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,secondary_forest,2
2366,Eimeria,1,Protozoa,Setifer setosus,Mandena,secondary_forest,2
2368,Hypotrichomonas,1,Protozoa,Rattus rattus,Mandena,secondary_forest,2
2369,Eimeria,1,Protozoa,Setifer setosus,Mandena,secondary_forest,2
2370,Tritrichomonas,1,Protozoa,Nesomys audeberti,Mandena,secondary_forest,2
2371,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,semi-intact_forest,2
2372,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,semi-intact_forest,2
2375,Eimeria,1,Protozoa,Microgale brevicaudata,Mandena,semi-intact_forest,2
2376,Eimeria,1,Protozoa,Eliurus webbi,Mandena,semi-intact_forest,2
