host_ID,host_species,site,village,grid,season
2284,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2285,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2286,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2287,Rattus rattus,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2289,Microgale brevicaudata,Mandena_brushy_regrowth,Mandena,brushy_regrowth,2
2291,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2293,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2294,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2295,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2296,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2302,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2303,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2304,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2305,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2306,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2307,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2308,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2309,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2313,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2314,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2315,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2318,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2319,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2324,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2327,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2328,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2329,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2333,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2334,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2337,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2338,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2339,Microgale brevicaudata,Mandena_agriculture,Mandena,agriculture,2
2341,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2342,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2343,Rattus rattus,Mandena_agriculture,Mandena,agriculture,2
2345,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2346,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2347,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2348,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2349,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2350,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2352,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2353,Rattus rattus,Mandena_secondary_forest,Mandena,secondary_forest,2
2354,Rattus rattus,Mandena_secondary_forest,Mandena,secondary_forest,2
2355,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2357,Rattus rattus,Mandena_secondary_forest,Mandena,secondary_forest,2
2359,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2361,Rattus rattus,Mandena_secondary_forest,Mandena,secondary_forest,2
2363,Microgale brevicaudata,Mandena_secondary_forest,Mandena,secondary_forest,2
2367,Rattus rattus,Mandena_secondary_forest,Mandena,secondary_forest,2
2368,Rattus rattus,Mandena_secondary_forest,Mandena,secondary_forest,2
2371,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2372,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2373,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2374,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2375,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2377,Rattus rattus,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2378,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2381,Rattus rattus,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2383,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2385,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,2
2386,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2387,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2388,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2389,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2390,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2392,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2393,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2394,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2396,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2397,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2398,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2399,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2400,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2401,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2402,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2405,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2406,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2407,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2410,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2411,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2412,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,2
2416,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2417,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2418,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2419,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
2420,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,2
